序號,班級,學號,姓名,GitHub,作業一,作業二,作業三,作業四,作業五,作業六,作業七,作業八,作業九,作業十
71,資工所,112C53437,蝳睯苝,GJ1opktT5b,4,7,3,6,1,8,10,3,10,4
72,資工系,111C53169,晣歓轕,X2iHsuTF68,3,10,6,4,8,1,3,4,7,10
73,資工所,111590176,嶌牃甇,sP6vqHHPN8,8,5,3,4,0,4,7,10,3,0
74,電資資安,112598335,萬塗涤,jQuV7iavku,3,4,10,6,0,4,9,9,2,1
75,創新AI,112590366,迒姁瞭,jkOIPqXFz5,2,7,9,7,4,9,10,1,9,9
76,資工所,112590624,祺謦癩,CHz1Csp68Z,9,3,7,1,2,3,0,6,5,5
77,電資AI,111C53729,忙箱荝,7g7CjE1iFl,10,7,1,3,4,3,7,3,5,7
78,創新AI,112C71761,矱鬀卷,Y3k11Hpi9d,8,3,2,3,1,6,9,7,4,1
79,創新AI,111C53228,铮鞰庰,qPYNimIfEI,2,8,6,3,6,4,3,5,9,10
80,資工所,111C53944,荾鱅裴,owmlBWBpRQ,4,8,5,0,2,9,4,4,5,4
81,電資AI,112598907,嫨邊鹫,C0UrI2CpvP,5,2,6,0,6,8,10,6,7,7
82,資工系,112C71202,鬚禇缊,EWV2bp3jNw,9,0,2,7,8,7,0,1,5,0
83,資工系,112C53779,輐援庤,HrYnChch1F,3,7,8,7,0,7,9,4,4,7
84,創新AI,112C52110,訰頡贀,snvKanWPtJ,4,4,2,7,1,1,0,3,5,3
85,資工所,111590591,遢俦衕,e5ZibzkVSm,5,8,7,0,3,6,4,6,6,0
86,資工系,112C52084,灟铇菭,stZwJaM24j,8,2,7,4,7,5,9,4,10,0
87,資工所,112C53215,撹燀耊,yHroiP8Wsc,4,9,4,2,2,4,4,10,1,10
88,資工系,111C52167,葑蟨鞨,TqDtHIqLCx,0,0,4,10,5,4,6,5,2,4
89,電資AI,112590766,炛淟奕,F1Tk6BSA6p,0,0,10,8,4,5,1,5,0,9
90,電資資安,111598372,狉薅徙,Gfx0UaM1fN,8,1,2,4,9,8,2,5,2,4
91,創新AI,112C71776,閭锸簕,ONrogwh3Hw,9,7,1,0,10,3,5,9,1,10
92,創新AI,112C71230,絭愦聋,28z5AeBKP4,4,8,5,10,10,6,3,10,9,6
93,電資資安,112598411,蝻徑謇,vTTZ6BLVx0,1,4,2,8,3,10,8,8,10,6
94,資工所,112590756,丄涶瀩,xbef676RAK,9,10,7,8,5,3,6,2,10,2
95,資工所,111C53945,浡蔦淟,psdVpR5nzL,6,3,4,6,7,0,9,7,8,9
96,創新AI,111C52381,桪笽跅,I6XeoJtAUp,8,3,9,9,9,3,1,3,6,3
97,資工系,111C52828,聋蕴齢,qX9ziJm3ru,6,5,0,4,2,8,8,9,7,10
98,資工系,112C71616,髍橗乍,D3mRBoGblS,10,8,2,6,4,5,1,5,6,10
99,電資AI,112590916,舤奆奬,K3ASeCodDN,8,10,6,6,8,2,3,5,8,6
100,資工系,111598777,鱍侁罽,FnXVDN1dls,0,5,6,3,2,2,0,7,9,0
101,資工所,112C53612,嘏粙菬,lj6E1g4wgM,0,1,6,7,3,10,4,2,6,2
102,電資AI,112598252,碅鿤羱,x2oq8BzkZc,2,5,10,10,10,6,2,5,6,7
103,創新AI,112C53152,諭皫篙,WVGwq9lhzv,10,9,1,10,10,6,3,0,0,5
104,電資資安,112C52878,傤铥轳,JPbyH4zPlf,0,7,3,0,10,10,10,4,7,8
105,資工系,112590033,毹藝榻,fN7LwisXfF,2,1,10,6,10,9,1,7,1,4
106,電資資安,112C71492,珰鄒蝺,ClKzLa4TUF,7,7,3,3,8,3,4,1,3,3
107,資工所,112590033,拤養楽,l8GqJd79aN,1,9,2,1,8,0,4,4,7,3
108,電資AI,111C71813,釕惀對,AekEeTUQtY,3,3,9,8,0,0,4,1,6,9
109,電資資安,112C53831,亴跏蛊,4NXdcBAACR,7,2,8,5,2,4,9,2,5,7
110,資工所,111598500,褄湜砳,MI9nvzCCvy,8,8,0,1,1,0,6,9,0,7
111,資工所,112590058,沪饒矘,ZF15z2bgpk,4,3,1,8,5,0,9,7,3,4
112,創新AI,111598815,徰辉孀,PEps93Revh,0,4,5,2,10,6,10,0,3,2
113,資工系,112C71964,滱忐笥,5qLpd4PwAu,2,7,2,2,10,3,1,1,6,1
114,電資資安,112C52072,轵岯乨,gEimydx0mN,3,0,5,8,8,0,6,9,8,5
115,資工系,112C53496,熕餩菭,weVsy8Jo61,3,2,9,2,0,2,4,3,10,9
116,資工系,112C71110,爴衣何,TTGPEho5H6,0,8,4,3,10,4,4,1,5,4
117,電資AI,112C71298,跪呶隅,szLZTHSpNQ,9,0,7,1,4,2,3,5,1,1
118,資工系,112598560,鯥溱睅,g6pAOCm2I2,0,10,10,5,7,8,6,3,3,4
119,電資AI,111598280,悕鉺獝,GgOtFA8zX0,2,1,7,2,5,3,2,5,0,3
120,電資資安,112598060,签颈嗉,uP8Dlk1atS,4,2,5,8,0,3,2,8,1,2
